Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
11/7/2011,58,51,54.5,10,10,0,0.04,0,0
11/8/2011,51,47,49,5,16,0,1.53,0,0
11/9/2011,62,37,49.5,5.9,15,0,0.39,T,0
11/10/2011,41,32,36.5,-6.6,28,0,0.01,T,0
11/11/2011,45,30,37.5,-5.1,27,0,0,0,0
11/12/2011,60,36,48,5.8,17,0,0,0,0
11/13/2011,70,47,58.5,16.8,6,0,0,0,0
11/14/2011,53,36,44.5,3.3,20,0,0.01,0,0
11/15/2011,64,34,49,8.3,16,0,0,0,0
11/16/2011,46,31,38.5,-1.7,26,0,0,0,0
11/17/2011,36,24,30,-9.7,35,0,0,0,0
11/18/2011,51,25,38,-1.2,27,0,0,0,0
11/19/2011,58,44,51,12.3,14,0,T,0,0
11/20/2011,55,39,47,8.9,18,0,0,0,0
11/21/2011,47,41,44,6.4,21,0,0,0,0
11/22/2011,43,40,41.5,4.4,23,0,0.24,0,0
11/23/2011,50,34,42,5.4,23,0,0,0,0
11/24/2011,47,40,43.5,7.4,21,0,0,0,0
11/25/2011,57,42,49.5,13.9,15,0,0,0,0
11/26/2011,56,45,50.5,15.4,14,0,1.01,0,0
11/27/2011,46,36,41,6.4,24,0,0.12,0,0
11/28/2011,41,34,37.5,3.4,27,0,T,T,0
11/29/2011,44,31,37.5,3.9,27,0,0,0,0
11/30/2011,44,25,34.5,1.3,30,0,0,0,0
