Weekly Lower 48 States Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly East Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Midwest Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Mountain Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Pacific Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly South Central  Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Salt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Nonsalt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet),
"Jan 25, 2019",2197,527,606,114,178,771,278,493,
"Feb 01, 2019",1960,468,522,105,172,692,241,451,
"Feb 08, 2019",1882,444,492,95,155,696,248,447,
"Feb 15, 2019",1705,395,436,87,138,649,224,425,
"Feb 22, 2019",1539,354,385,79,122,598,199,399,
"Mar 01, 2019",1390,311,338,73,112,557,180,377,
"Mar 08, 2019",1190,262,287,66,102,473,129,344,
"Mar 15, 2019",1143,245,268,62,96,471,135,336,
"Mar 22, 2019",1107,225,248,62,104,467,137,329,
"Mar 29, 2019",1130,210,241,64,113,502,156,347,
"Apr 05, 2019",1155,209,240,64,119,523,166,357,
"Apr 12, 2019",1247,228,254,66,128,571,187,384,
"Apr 19, 2019",1339,251,264,70,138,616,204,413,
"Apr 26, 2019",1462,279,290,75,152,666,224,442,
"May 03, 2019",1547,299,309,78,162,699,234,466,
"May 10, 2019",1653,330,336,82,174,731,240,491,
"May 17, 2019",1753,353,364,89,186,762,249,513,
"May 24, 2019",1867,383,399,93,198,793,253,540,
"May 31, 2019",1986,414,436,101,213,821,256,565,
"Jun 07, 2019",2088,440,469,111,227,842,256,586,
"Jun 14, 2019",2203,472,503,118,234,875,264,612,
"Jun 21, 2019",2301,499,538,127,245,893,263,630,
"Jun 28, 2019",2390,526,568,134,255,907,259,648,
"Jul 05, 2019",2471,544,597,140,263,927,257,669,
"Jul 12, 2019",2533,561,627,147,268,929,246,683,
"Jul 19, 2019",2569,575,650,151,271,921,229,692,
"Jul 26, 2019",2634,597,677,156,270,934,226,708,
"Aug 02, 2019",2689,613,701,161,272,941,221,719,
"Aug 09, 2019",2738,634,729,164,272,939,214,725,
"Aug 16, 2019",2797,660,760,168,274,935,205,730,
"Aug 23, 2019",2857,682,790,173,278,934,199,736,
"Aug 30, 2019",2941,714,827,177,276,947,197,749,
"Sep 06, 2019",3019,739,864,183,275,958,199,759,
"Sep 13, 2019",3103,763,898,188,279,974,200,774,
"Sep 20, 2019",3205,794,934,194,286,998,207,790,
"Sep 27, 2019",3317,826,973,199,291,1029,220,809,
"Oct 04, 2019",3415,854,1009,203,296,1054,229,825,
"Oct 11, 2019",3519,880,1044,205,296,1093,246,847,
"Oct 18, 2019",3606,898,1069,208,297,1134,268,866,
"Oct 25, 2019",3695,913,1095,211,298,1178,293,885,
"Nov 01, 2019",3729,932,1109,207,292,1189,303,886,
"Nov 08, 2019",3732,932,1106,207,290,1197,313,884,
"Nov 15, 2019",3638,909,1069,205,292,1164,299,864,
"Nov 22, 2019",3610,894,1052,204,293,1166,303,863,
"Nov 29, 2019",3591,891,1040,200,286,1174,316,858,
"Dec 06, 2019",3518,867,1013,193,276,1168,321,847,
"Dec 13, 2019",3411,838,973,186,273,1142,319,823,
"Dec 20, 2019",3250,796,923,177,260,1094,309,786,
"Dec 27, 2019",3192,771,905,173,251,1093,313,780,
"Jan 03, 2020",3148,756,885,166,244,1097,323,774,
"Jan 10, 2020",3039,716,851,161,235,1076,320,756,
"Jan 17, 2020",2947,696,815,151,220,1065,328,737,
"Jan 24, 2020",2746,638,761,143,210,995,297,698,
"Jan 31, 2020",2609,598,725,136,210,941,281,660,
"Feb 07, 2020",2494,569,694,126,202,903,269,634,
"Feb 14, 2020",2343,527,639,117,198,861,257,605,
"Feb 21, 2020",2200,484,591,108,196,821,244,578,
"Feb 28, 2020",2091,451,558,101,197,784,229,555,
"Mar 06, 2020",2043,426,529,97,200,791,235,556,
"Mar 13, 2020",2034,412,512,96,199,814,247,568,
"Mar 20, 2020",2005,398,492,92,194,829,258,571,
"Mar 27, 2020",1986,382,476,92,197,840,256,585,
"Apr 03, 2020",2024,382,475,92,203,872,265,607,
"Apr 10, 2020",2097,400,487,95,203,912,286,626,
"Apr 17, 2020",2140,400,493,96,210,941,301,640,
"Apr 24, 2020",2210,405,506,103,218,979,314,664,
"May 01, 2020",2319,424,530,111,228,1027,331,695,
"May 08, 2020",2422,452,554,117,240,1059,340,719,
"May 15, 2020",2503,469,576,124,253,1081,345,737,
"May 22, 2020",2612,504,606,132,264,1105,348,757,
"May 29, 2020",2714,536,634,140,273,1131,353,778,
"Jun 05, 2020",2807,563,662,148,281,1153,357,797,
"Jun 12, 2020",2892,586,688,156,290,1173,358,815,
"Jun 19, 2020",3012,619,716,165,299,1212,372,840,
"Jun 26, 2020",3077,639,740,173,304,1222,368,854,
"Jul 03, 2020",3133,657,761,180,310,1226,364,862,
"Jul 10, 2020",3178,672,780,186,312,1228,359,869,
"Jul 17, 2020",3215,693,799,190,311,1221,349,872,
"Jul 24, 2020",3241,706,815,196,313,1211,339,872,
"Jul 31, 2020",3274,718,830,202,311,1214,336,878,
"Aug 07, 2020",3332,738,856,206,314,1219,337,883,
"Aug 14, 2020",3375,750,880,209,313,1223,335,888,
"Aug 21, 2020",3420,775,904,212,306,1223,334,889,
"Aug 28, 2020",3455,789,924,212,304,1225,331,895,
"Sep 04, 2020",3525,805,953,216,308,1243,335,908,
"Sep 11, 2020",3614,825,983,221,310,1276,349,927,
"Sep 18, 2020",3680,851,1009,225,312,1283,349,934,
"Sep 25, 2020",3756,872,1033,231,316,1304,358,945,
"Oct 02, 2020",3831,893,1062,236,318,1322,366,955,
"Oct 09, 2020",3877,908,1081,241,320,1326,366,960,
"Oct 16, 2020",3926,923,1105,245,323,1329,360,969,
"Oct 23, 2020",3955,941,1118,245,323,1329,360,968,
"Oct 30, 2020",3919,947,1119,240,320,1293,348,945,
"Nov 06, 2020",3927,942,1127,243,322,1293,345,948,
"Nov 13, 2020",3958,953,1139,241,319,1306,350,956,
"Nov 20, 2020",3940,934,1133,242,320,1312,356,956,
"Nov 27, 2020",3939,934,1122,240,318,1326,368,958,
"Dec 04, 2020",3848,915,1095,232,312,1294,361,933,
"Dec 11, 2020",3726,881,1059,223,306,1256,348,908,
"Dec 18, 2020",3574,844,1015,212,296,1207,337,870,
"Dec 25, 2020",3460,810,973,204,289,1183,334,849,
"Jan 01, 2021",3330,765,923,196,282,1163,333,830,
"Jan 08, 2021",3196,726,879,188,278,1126,327,799,
"Jan 15, 2021",3009,679,828,176,275,1051,296,755,
"Jan 22, 2021",2881,641,780,170,275,1014,288,726,
"Jan 29, 2021",2689,582,719,158,261,970,281,689,
"Feb 05, 2021",2518,529,666,150,257,915,261,654,
"Feb 12, 2021",2281,485,589,137,244,826,233,593,
"Feb 19, 2021",1943,424,508,123,218,670,150,520,
"Feb 26, 2021",1845,383,465,117,210,670,159,511,
"Mar 05, 2021",1793,350,440,113,205,685,176,509,
"Mar 12, 2021",1782,328,426,114,199,715,197,519,
"Mar 19, 2021",1750,307,405,112,193,734,215,519,
"Mar 26, 2021",1764,307,401,112,194,749,226,523,
,,,,,,,,,
