Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,
2013-10-30,55,31,43,-4.6,22,0,0.02,T,0,
2013-10-31,61,34,47.5,0.2,17,0,0.09,0,0,
2013-11-01,68,52,60,13,5,0,0.15,0,0,
2013-11-02,67,40,53.5,6.8,11,0,T,0,0,
2013-11-03,50,30,40,-6.4,25,0,0,0,0,
2013-11-04,44,24,34,-12.1,31,0,0,0,0,
2013-11-05,53,26,39.5,-6.3,25,0,0,0,0,
2013-11-06,62,37,49.5,4,15,0,0,0,0,
2013-11-07,64,37,50.5,5.3,14,0,0.1,0,0,
2013-11-08,50,34,42,-2.9,23,0,T,0,0,
2013-11-09,47,26,36.5,-8.1,28,0,T,0,0,
2013-11-10,57,39,48,3.7,17,0,T,0,0,
2013-11-11,53,40,46.5,2.5,18,0,0,0,0,
2013-11-12,50,26,38,-5.7,27,0,T,T,0,
2013-11-13,38,23,30.5,-12.9,34,0,0,0,0,
2013-11-14,53,28,40.5,-2.5,24,0,0,0,0,
2013-11-15,60,27,43.5,0.8,21,0,0,0,0,
2013-11-16,60,34,47,4.6,18,0,T,0,0,
2013-11-17,56,33,44.5,2.5,20,0,0.01,0,0,
2013-11-18,65,46,55.5,13.8,9,0,0.17,0,0,
2013-11-19,47,30,38.5,-2.9,26,0,0,0,0,
2013-11-20,41,21,31,-10,34,0,0,0,0,
2013-11-21,47,17,32,-8.7,33,0,0,0,0,
2013-11-22,51,42,46.5,6.2,18,0,0.15,0,0,
2013-11-23,50,28,39,-0.9,26,0,T,T,0,
2013-11-24,28,19,23.5,-16.1,41,0,T,T,0,
2013-11-25,35,17,26,-13.2,39,0,0,0,0,
2013-11-26,39,31,35,-3.8,30,0,0.24,T,0,
2013-11-27,51,33,42,3.5,23,0,3.2,T,0,
2013-11-28,36,24,30,-8.1,35,0,0,0,0,
2013-11-29,36,20,28,-9.7,37,0,0,0,0,
2013-11-30,32,13,22.5,-14.8,42,0,0,0,0,
2013-12-01,41,29,35,-1.9,30,0,0,0,0,
2013-12-02,41,27,34,-2.5,31,0,0,0,0,
2013-12-03,46,28,37,0.8,28,0,0,0,0,
2013-12-04,47,25,36,0.2,29,0,0,0,0,
2013-12-05,52,36,44,8.6,21,0,0.04,0,0,
2013-12-06,53,33,43,8,22,0,0.57,0.2,0,
2013-12-07,39,28,33.5,-1.1,31,0,0.06,0.2,0,
2013-12-08,32,22,27,-7.2,38,0,0,0,0,
2013-12-09,34,26,30,-3.8,35,0,0.22,0.2,0,
2013-12-10,33,21,27,-6.5,38,0,0.04,0.3,0,
2013-12-11,29,17,23,-10.1,42,0,0,0,0,
2013-12-12,25,14,19.5,-13.2,45,0,0,0,0,
2013-12-13,32,17,24.5,-7.9,40,0,0,0,0,
2013-12-14,22,13,17.5,-14.5,47,0,0.43,5.3,M,
2013-12-15,34,18,26,-5.6,39,0,0.3,1.4,7,
2013-12-16,29,9,19,-12.3,46,0,T,T,6,
2013-12-17,18,-2,8,-22.9,57,0,0.35,4.8,5,
2013-12-18,33,14,23.5,-7.1,41,0,0,0,10,
2013-12-19,44,21,32.5,2.2,32,0,0,0,9,
2013-12-20,47,28,37.5,7.5,27,0,0,0,8,
2013-12-21,53,39,46,16.4,19,0,T,0,4,
2013-12-22,64,47,55.5,26.2,9,0,0.03,0,M,
2013-12-23,59,36,47.5,18.4,17,0,0.69,0,M,
2013-12-24,37,22,29.5,0.7,35,0,0,0,M,
2013-12-25,26,13,19.5,-9,45,0,0,0,M,
2013-12-26,31,20,25.5,-2.7,39,0,0.02,0.3,M,
2013-12-27,37,16,26.5,-1.5,38,0,0,0,M,
2013-12-28,49,22,35.5,7.7,29,0,0,0,M,
2013-12-29,42,27,34.5,7,30,0,1.17,0,M,
2013-12-30,38,15,26.5,-0.8,38,0,0,0,M,
2013-12-31,27,10,18.5,-8.6,46,0,T,T,M,
2014-01-01,31,15,23,-3.9,42,0,0.01,0.2,M,
2014-01-02,22,7,14.5,-12.3,50,0,0.24,4.4,3,
2014-01-03,12,-2,5,-21.6,60,0,0.11,2.6,7,
2014-01-04,25,-9,8,-18.4,57,0,0,0,6,
2014-01-05,32,4,18,-8.3,47,0,0.06,0,5,
2014-01-06,55,26,40.5,14.3,24,0,1.04,T,1,
2014-01-07,27,5,16,-10.1,49,0,0.01,0.3,1,
2014-01-08,21,4,12.5,-13.5,52,0,0,0,1,
2014-01-09,31,12,21.5,-4.4,43,0,0,0,1,
2014-01-10,34,12,23,-2.8,42,0,0.08,1.1,1,
2014-01-11,57,33,45,19.2,20,0,1.01,0,1,
2014-01-12,54,33,43.5,17.8,21,0,0,0,M,
2014-01-13,48,26,37,11.3,28,0,0,0,M,
2014-01-14,46,39,42.5,16.9,22,0,0.65,0,M,
2014-01-15,49,27,38,12.4,27,0,0,0,M,
2014-01-16,40,34,37,11.4,28,0,T,0,M,
2014-01-17,44,30,37,11.3,28,0,0,0,M,
2014-01-18,40,29,34.5,8.8,30,0,0.08,0.2,M,
2014-01-19,34,27,30.5,4.8,34,0,0.01,0.1,M,
2014-01-20,45,22,33.5,7.7,31,0,0.02,0.3,M,
2014-01-21,22,9,15.5,-10.3,49,0,0.04,0.6,1,
2014-01-22,16,4,10,-15.9,55,0,0,0,1,
2014-01-23,20,2,11,-15,54,0,0,0,1,
2014-01-24,18,3,10.5,-15.6,54,0,0,0,1,
2014-01-25,32,14,23,-3.2,42,0,0.04,0.5,1,
2014-01-26,21,11,16,-10.3,49,0,T,T,1,
2014-01-27,42,18,30,3.6,35,0,0.01,0,1,
2014-01-28,19,8,13.5,-13,51,0,0,0,M,
2014-01-29,26,12,19,-7.6,46,0,T,T,M,
2014-01-30,29,6,17.5,-9.3,47,0,0,0,M,
2014-01-31,43,20,31.5,4.6,33,0,0,0,M,
2014-02-01,47,26,36.5,9.4,28,0,0,0,M,
2014-02-02,50,32,41,13.8,24,0,0.04,0,M,
2014-02-03,36,21,28.5,1.1,36,0,0.26,2.4,2,
2014-02-04,31,13,22,-5.5,43,0,0,0,2,
2014-02-05,28,26,27,-0.7,38,0,1.28,10.2,12,
2014-02-06,27,12,19.5,-8.4,45,0,0,0,11,
2014-02-07,30,1,15.5,-12.6,49,0,0,0,11,
2014-02-08,28,1,14.5,-13.8,50,0,0,0,10,
2014-02-09,30,17,23.5,-5,41,0,0.04,0.6,10,
2014-02-10,26,13,19.5,-9.2,45,0,0,0,10,
2014-02-11,23,2,12.5,-16.4,52,0,0,0,10,
2014-02-12,24,-4,10,-19.1,55,0,0,0,9,
2014-02-13,33,18,25.5,-3.8,39,0,1.25,7.4,16,
2014-02-14,39,23,31,1.5,34,0,0.1,1.2,16,
2014-02-15,32,19,25.5,-4.2,39,0,0.17,1.2,16,
2014-02-16,30,19,24.5,-5.4,40,0,0,0,16,
2014-02-17,29,5,17,-13.1,48,0,0,0,16,
2014-02-18,25,6,15.5,-14.9,49,0,0.2,3.6,19,
2014-02-19,33,8,20.5,-10.1,44,0,0.29,0.4,19,
2014-02-20,46,27,36.5,5.7,28,0,0.13,T,17,
2014-02-21,37,30,33.5,2.5,31,0,0.2,0,15,
2014-02-22,51,25,38,6.7,27,0,0,0,13,
2014-02-23,49,28,38.5,7,26,0,0,0,11,
2014-02-24,44,21,32.5,0.7,32,0,0,0,10,
2014-02-25,28,16,22,-10,43,0,T,T,10,
2014-02-26,29,7,18,-14.3,47,0,0,0,10,
2014-02-27,29,3,16,-16.5,49,0,T,0.1,10,
2014-02-28,22,6,14,-18.8,51,0,0,0,10,
2014-03-01,33,0,16.5,-16.6,48,0,0,0,10,
2014-03-02,37,25,31,-2.3,34,0,T,T,10,
2014-03-03,25,11,18,-15.6,47,0,0,0,10,
2014-03-04,27,4,15.5,-18.4,49,0,0,0,10,
2014-03-05,29,18,23.5,-10.6,41,0,0,0,10,
2014-03-06,30,9,19.5,-14.9,45,0,0,0,10,
2014-03-07,35,3,19,-15.7,46,0,0,0,9,
2014-03-08,50,26,38,3,27,0,0,0,9,
2014-03-09,38,28,33,-2.3,32,0,0,0,8,
2014-03-10,45,30,37.5,1.9,27,0,0,0,6,
2014-03-11,56,31,43.5,7.6,21,0,0,0,3,
2014-03-12,46,30,38,1.7,27,0,0.33,T,1,
2014-03-13,29,15,22,-14.6,43,0,T,T,1,
2014-03-14,39,17,28,-8.9,37,0,0,0,1,
2014-03-15,55,33,44,6.8,21,0,T,0,1,
2014-03-16,33,21,27,-10.6,38,0,0,0,M,
2014-03-17,33,18,25.5,-12.4,39,0,0,0,M,
2014-03-18,42,17,29.5,-8.8,35,0,0,0,M,
2014-03-19,50,19,34.5,-4.1,30,0,0.63,T,M,
2014-03-20,52,33,42.5,3.5,22,0,0.25,0,M,
2014-03-21,45,28,36.5,-2.9,28,0,0,0,M,
2014-03-22,59,23,41,1.3,24,0,T,0,M,
2014-03-23,38,22,30,-10.1,35,0,0,0,M,
2014-03-24,33,15,24,-16.5,41,0,0,0,M,
2014-03-25,38,14,26,-14.9,39,0,0,0,M,
2014-03-26,36,21,28.5,-12.8,36,0,0,0,M,
2014-03-27,46,19,32.5,-9.2,32,0,0,0,M,
2014-03-28,50,34,42,-0.1,23,0,0.21,0,M,
2014-03-29,52,37,44.5,2,20,0,1.48,0,M,
2014-03-30,43,38,40.5,-2.4,24,0,1.1,0,M,
2014-03-31,41,33,37,-6.3,28,0,0.72,0.8,1,
2014-04-01,58,31,44.5,0.8,20,0,0,0,0,
2014-04-02,61,30,45.5,1.4,19,0,0,0,0,
2014-04-03,60,39,49.5,5,15,0,0,0,0,
2014-04-04,54,36,45,0.1,20,0,0.11,0,0,
2014-04-05,55,36,45.5,0.2,19,0,0.1,0,0,
2014-04-06,60,30,45,-0.7,20,0,0,0,0,
2014-04-07,58,31,44.5,-1.7,20,0,0.14,0,0,
2014-04-08,67,45,56,9.4,9,0,0.45,0,0,
2014-04-09,59,38,48.5,1.5,16,0,0,0,0,
2014-04-10,61,29,45,-2.4,20,0,T,0,0,
2014-04-11,67,48,57.5,9.7,7,0,0.13,0,0,
2014-04-12,71,41,56,7.8,9,0,0.03,0,0,
2014-04-13,75,43,59,10.4,6,0,T,0,0,
2014-04-14,75,57,66,17,0,1,0,0,0,
2014-04-15,63,32,47.5,-1.9,17,0,1.44,T,0,
2014-04-16,46,30,38,-11.8,27,0,0.04,0.2,0,
2014-04-17,52,26,39,-11.2,26,0,0,0,0,
2014-04-18,49,26,37.5,-13.1,27,0,0,0,0,
2014-04-19,65,34,49.5,-1.4,15,0,0,0,0,
2014-04-20,61,34,47.5,-3.8,17,0,0,0,0,
2014-04-21,71,30,50.5,-1.2,14,0,0,0,0,
2014-04-22,73,43,58,6,7,0,0.01,0,0,
2014-04-23,57,44,50.5,-1.9,14,0,0.02,0,0,
2014-04-24,60,40,50,-2.7,15,0,0,0,0,
2014-04-25,67,37,52,-1.1,13,0,T,0,0,
2014-04-26,55,41,48,-5.4,17,0,1.03,0,0,
2014-04-27,57,41,49,-4.8,16,0,T,0,0,
2014-04-28,66,38,52,-2.1,13,0,0,0,0,
2014-04-29,51,41,46,-8.4,19,0,0.02,0,0,
2014-04-30,45,40,42.5,-12.2,22,0,1.94,0,0,
2014-05-01,69,44,56.5,1.4,8,0,0.89,0,0,
2014-05-02,69,47,58,2.6,7,0,0.01,0,0,
2014-05-03,71,40,55.5,-0.2,9,0,0,0,0,
2014-05-04,65,49,57,1,8,0,0.04,0,0,
2014-05-05,67,48,57.5,1.2,7,0,0,0,0,
2014-05-06,66,41,53.5,-3.1,11,0,0,0,0,
2014-05-07,70,37,53.5,-3.4,11,0,0,0,0,
2014-05-08,60,44,52,-5.2,13,0,0.01,0,0,
2014-05-09,60,54,57,-0.5,8,0,0.07,0,0,
2014-05-10,83,59,71,13.3,0,6,0.33,0,0,
2014-05-11,81,56,68.5,10.5,0,4,T,0,0,
2014-05-12,90,49,69.5,11.2,0,5,0,0,0,
2014-05-13,71,51,61,2.4,4,0,0,0,0,
2014-05-14,72,48,60,1.1,5,0,0.01,0,0,
2014-05-15,77,60,68.5,9.3,0,4,0.1,0,0,
2014-05-16,68,63,65.5,6.1,0,1,0.13,0,0,
2014-05-17,72,51,61.5,1.8,3,0,1.3,0,0,
2014-05-18,70,44,57,-3,8,0,0,0,0,
2014-05-19,70,46,58,-2.3,7,0,T,0,0,
2014-05-20,77,52,64.5,3.9,0,0,0,0,0,
2014-05-21,78,45,61.5,0.6,3,0,0,0,0,
2014-05-22,61,56,58.5,-2.7,6,0,0.78,0,0,
2014-05-23,69,54,61.5,0.1,3,0,0.33,0,0,
2014-05-24,69,53,61,-0.7,4,0,T,0,0,
2014-05-25,79,51,65,3,0,0,0,0,0,
2014-05-26,88,55,71.5,9.2,0,7,0.01,0,0,
2014-05-27,86,52,69,6.4,0,4,0.37,0,0,
2014-05-28,56,47,51.5,-11.4,13,0,0.03,0,0,
2014-05-29,69,40,54.5,-8.7,10,0,0,0,0,
2014-05-30,76,49,62.5,-1,2,0,0.04,0,0,
2014-05-31,70,48,59,-4.8,6,0,0.01,0,0,
2014-06-01,77,44,60.5,-3.6,4,0,0,0,0,
2014-06-02,83,52,67.5,3.1,0,3,0,0,0,
2014-06-03,89,54,71.5,6.7,0,7,0.1,0,0,
2014-06-04,79,62,70.5,5.4,0,6,0,0,0,
2014-06-05,71,59,65,-0.4,0,0,0.26,0,0,
2014-06-06,77,58,67.5,1.8,0,3,0,0,0,
2014-06-07,84,53,68.5,2.5,0,4,0,0,0,
2014-06-08,86,56,71,4.7,0,6,0,0,0,
2014-06-09,71,62,66.5,-0.1,0,2,0.11,0,0,
2014-06-10,81,62,71.5,4.6,0,7,0.03,0,0,
2014-06-11,70,60,65,-2.3,0,0,0.13,0,0,
2014-06-12,69,58,63.5,-4.1,1,0,0.13,0,0,
2014-06-13,69,63,66,-1.9,0,1,0.56,0,0,
2014-06-14,77,55,66,-2.2,0,1,T,0,0,
2014-06-15,79,52,65.5,-3,0,1,0,0,0,
2014-06-16,82,54,68,-0.8,0,3,0,0,0,
2014-06-17,90,62,76,7,0,11,0,0,0,
2014-06-18,85,68,76.5,7.2,0,12,0.02,0,0,
2014-06-19,84,62,73,3.4,0,8,0.1,0,0,
2014-06-20,78,54,66,-3.9,0,1,0,0,0,
2014-06-21,78,50,64,-6.1,1,0,0,0,0,
2014-06-22,81,54,67.5,-2.9,0,3,0,0,0,
2014-06-23,85,53,69,-1.7,0,4,0,0,0,
2014-06-24,85,61,73,2.1,0,8,0,0,0,
2014-06-25,88,64,76,4.9,0,11,0.15,0,0,
2014-06-26,86,67,76.5,5.1,0,12,0.12,0,0,
2014-06-27,85,60,72.5,0.9,0,8,0,0,0,
2014-06-28,88,57,72.5,0.7,0,8,0,0,0,
2014-06-29,88,58,73,1,0,8,0,0,0,
2014-06-30,89,61,75,2.8,0,10,0,0,0,
2014-07-01,93,68,80.5,8.1,0,16,0,0,0,
2014-07-02,95,72,83.5,11,0,19,0.65,0,0,
2014-07-03,91,69,80,7.3,0,15,0.66,0,0,
2014-07-04,77,62,69.5,-3.4,0,5,0.33,0,0,
2014-07-05,82,61,71.5,-1.5,0,7,0,0,0,
2014-07-06,87,58,72.5,-0.6,0,8,0,0,0,
2014-07-07,90,71,80.5,7.3,0,16,0.04,0,0,
2014-07-08,92,69,80.5,7.1,0,16,0.03,0,0,
2014-07-09,89,66,77.5,4,0,13,T,0,0,
2014-07-10,84,63,73.5,-0.1,0,9,0,0,0,
2014-07-11,86,61,73.5,-0.1,0,9,0,0,0,
2014-07-12,90,58,74,0.3,0,9,0,0,0,
2014-07-13,85,70,77.5,3.7,0,13,0.28,0,0,
2014-07-14,82,72,77,3.2,0,12,0.35,0,0,
2014-07-15,85,73,79,5.1,0,14,0.97,0,0,
2014-07-16,81,66,73.5,-0.4,0,9,0.01,0,0,
2014-07-17,84,61,72.5,-1.4,0,8,0,0,0,
2014-07-18,83,55,69,-5,0,4,0,0,0,
2014-07-19,78,58,68,-6,0,3,0,0,0,
2014-07-20,82,60,71,-3,0,6,T,0,0,
2014-07-21,85,58,71.5,-2.5,0,7,0,0,0,
2014-07-22,91,65,78,4,0,13,0,0,0,
2014-07-23,93,69,81,7,0,16,0.39,0,0,
2014-07-24,83,63,73,-1,0,8,T,0,0,
2014-07-25,83,56,69.5,-4.4,0,5,0,0,0,
2014-07-26,84,63,73.5,-0.4,0,9,T,0,0,
2014-07-27,85,66,75.5,1.6,0,11,0.49,0,0,
2014-07-28,85,65,75,1.2,0,10,0.29,0,0,
2014-07-29,77,61,69,-4.8,0,4,0,0,0,
2014-07-30,80,60,70,-3.7,0,5,0,0,0,
2014-07-31,83,57,70,-3.7,0,5,0,0,0,
2014-08-01,87,65,76,2.4,0,11,0.32,0,0,
2014-08-02,75,61,68,-5.6,0,3,0.05,0,0,
2014-08-03,76,60,68,-5.5,0,3,0.01,0,0,
2014-08-04,85,65,75,1.6,0,10,0.37,0,0,
2014-08-05,89,63,76,2.7,0,11,0.22,0,0,
2014-08-06,83,62,72.5,-0.8,0,8,T,0,0,
2014-08-07,80,57,68.5,-4.7,0,4,T,0,0,
2014-08-08,83,54,68.5,-4.6,0,4,0,0,0,
2014-08-09,85,57,71,-2,0,6,0,0,0,
2014-08-10,87,58,72.5,-0.4,0,8,0,0,0,
2014-08-11,87,58,72.5,-0.3,0,8,0,0,0,
2014-08-12,84,60,72,-0.7,0,7,T,0,0,
2014-08-13,74,65,69.5,-3.1,0,5,2.29,0,0,
2014-08-14,77,59,68,-4.4,0,3,0.03,0,0,
2014-08-15,72,54,63,-9.3,2,0,0.01,0,0,
2014-08-16,78,56,67,-5.2,0,2,0,0,0,
2014-08-17,80,59,69.5,-2.5,0,5,0.02,0,0,
2014-08-18,79,54,66.5,-5.4,0,2,0,0,0,
2014-08-19,81,51,66,-5.7,0,1,0,0,0,
2014-08-20,84,57,70.5,-1.1,0,6,0,0,0,
2014-08-21,80,63,71.5,0.1,0,7,0.06,0,0,
2014-08-22,71,65,68,-3.2,0,3,0.11,0,0,
2014-08-23,76,57,66.5,-4.5,0,2,0,0,0,
2014-08-24,82,54,68,-2.8,0,3,0,0,0,
2014-08-25,88,57,72.5,1.9,0,8,0,0,0,
2014-08-26,90,60,75,4.6,0,10,0,0,0,
2014-08-27,91,64,77.5,7.3,0,13,0.04,0,0,
2014-08-28,82,58,70,0.1,0,5,0,0,0,
2014-08-29,78,53,65.5,-4.2,0,1,0,0,0,
2014-08-30,81,53,67,-2.5,0,2,0,0,0,
2014-08-31,86,71,78.5,9.3,0,14,0.23,0,0,
2014-09-01,89,69,79,10.1,0,14,0,0,0,
2014-09-02,93,72,82.5,13.9,0,18,0.17,0,0,
2014-09-03,84,62,73,4.6,0,8,0,0,0,
2014-09-04,88,56,72,3.9,0,7,0,0,0,
2014-09-05,90,64,77,9.3,0,12,0,0,0,
2014-09-06,93,64,78.5,11.1,0,14,0.03,0,0,
2014-09-07,80,56,68,0.9,0,3,0.01,0,0,
2014-09-08,78,54,66,-0.8,0,1,0,0,0,
2014-09-09,74,52,63,-3.4,2,0,0,0,0,
2014-09-10,75,55,65,-1.1,0,0,0,0,0,
2014-09-11,79,57,68,2.3,0,3,0,0,0,
2014-09-12,75,52,63.5,-1.8,1,0,0,0,0,
2014-09-13,65,50,57.5,-7.5,7,0,0.18,0,0,
2014-09-14,69,46,57.5,-7.1,7,0,0,0,0,
2014-09-15,69,45,57,-7.2,8,0,0,0,0,
2014-09-16,69,51,60,-3.8,5,0,0.07,0,0,
2014-09-17,73,43,58,-5.4,7,0,0,0,0,
2014-09-18,76,44,60,-3,5,0,0,0,0,
2014-09-19,64,43,53.5,-9.1,11,0,0,0,0,
2014-09-20,75,41,58,-4.2,7,0,0,0,0,
2014-09-21,79,61,70,8.2,0,5,1.12,0,0,
2014-09-22,71,48,59.5,-1.8,5,0,T,0,0,
2014-09-23,72,44,58,-2.9,7,0,0,0,0,
2014-09-24,73,49,61,0.5,4,0,0,0,0,
2014-09-25,65,54,59.5,-0.6,5,0,0.02,0,0,
2014-09-26,78,53,65.5,5.8,0,1,T,0,0,
2014-09-27,84,50,67,7.8,0,2,0,0,0,
2014-09-28,87,54,70.5,11.7,0,6,0,0,0,
2014-09-29,77,58,67.5,9.1,0,3,0,0,0,
2014-09-30,65,59,62,4,3,0,0.02,0,0,
2014-10-01,63,58,60.5,2.9,4,0,0.47,0,0,
2014-10-02,64,52,58,0.8,7,0,0.12,0,0,
2014-10-03,71,46,58.5,1.7,6,0,0,0,0,
2014-10-04,62,51,56.5,0.1,8,0,1.05,0,0,
2014-10-05,62,41,51.5,-4.5,13,0,0,0,0,
2014-10-06,70,36,53,-2.6,12,0,0,0,0,
2014-10-07,75,48,61.5,6.3,3,0,T,0,0,
2014-10-08,74,53,63.5,8.7,1,0,0.07,0,0,
2014-10-09,70,45,57.5,3.1,7,0,0,0,0,
2014-10-10,65,41,53,-1,12,0,0,0,0,
2014-10-11,54,42,48,-5.7,17,0,0.16,0,0,
2014-10-12,63,34,48.5,-4.8,16,0,0,0,0,
2014-10-13,64,36,50,-2.9,15,0,0,0,0,
2014-10-14,79,60,69.5,16.9,0,5,T,0,0,
2014-10-15,80,63,71.5,19.3,0,7,0.02,0,0,
2014-10-16,72,61,66.5,14.6,0,2,0.94,0,0,
2014-10-17,74,58,66,14.4,0,1,0,0,0,
2014-10-18,69,55,62,10.8,3,0,0.1,0,0,
2014-10-19,55,37,46,-4.9,19,0,0,0,0,
2014-10-20,57,33,45,-5.6,20,0,0,0,0,
2014-10-21,67,43,55,4.7,10,0,T,0,0,
2014-10-22,56,50,53,3,12,0,0.44,0,0,
2014-10-23,54,50,52,2.3,13,0,0.21,0,0,
2014-10-24,58,48,53,3.7,12,0,0.13,0,0,
2014-10-25,68,42,55,6,10,0,0,0,0,
2014-10-26,58,46,52,3.3,13,0,0.02,0,0,
2014-10-27,63,42,52.5,4,12,0,0,0,0,
2014-10-28,73,39,56,7.8,9,0,0,0,0,
2014-10-29,72,46,59,11.1,6,0,0.16,0,0,
2014-10-30,59,36,47.5,-0.1,17,0,0,0,0,
2014-10-31,54,31,42.5,-4.8,22,0,0.03,0,0,
2014-11-01,47,42,44.5,-2.5,20,0,0.19,0,0,
2014-11-02,49,39,44,-2.7,21,0,0,0,0,
2014-11-03,59,34,46.5,0.1,18,0,0,0,0,
2014-11-04,67,36,51.5,5.4,13,0,T,0,0,
2014-11-05,66,44,55,9.2,10,0,0,0,0,
2014-11-06,47,42,44.5,-1,20,0,0.26,0,0,
2014-11-07,49,35,42,-3.2,23,0,T,0,0,
2014-11-08,50,30,40,-4.9,25,0,0,0,0,
2014-11-09,59,35,47,2.4,18,0,0,0,0,
2014-11-10,62,29,45.5,1.2,19,0,0,0,0,
2014-11-11,66,33,49.5,5.5,15,0,0,0,0,
2014-11-12,67,41,54,10.3,11,0,0,0,0,
2014-11-13,51,29,40,-3.4,25,0,0.09,T,0,
2014-11-14,43,30,36.5,-6.5,28,0,0.08,T,0,
2014-11-15,42,22,32,-10.7,33,0,0,0,0,
2014-11-16,43,21,32,-10.4,33,0,0,0,0,
2014-11-17,40,36,38,-4,27,0,1.21,0,0,
2014-11-18,42,24,33,-8.7,32,0,0,0,0,
2014-11-19,36,20,28,-13.4,37,0,0,0,0,
2014-11-20,48,27,37.5,-3.5,27,0,0,0,0,
2014-11-21,37,23,30,-10.7,35,0,0,0,0,
2014-11-22,44,19,31.5,-8.8,33,0,0,0,0,
2014-11-23,61,40,50.5,10.6,14,0,T,0,0,
2014-11-24,66,41,53.5,13.9,11,0,0.74,0,0,
2014-11-25,67,41,54,14.8,11,0,0,0,0,
2014-11-26,44,34,39,0.2,26,0,1.15,4.6,4,
2014-11-27,37,31,34,-4.5,31,0,0.05,0.5,4,
2014-11-28,36,21,28.5,-9.6,36,0,0,0,4,
2014-11-29,34,19,26.5,-11.2,38,0,0,0,4,
2014-11-30,53,33,43,5.7,22,0,0,0,2,
2014-12-01,62,38,50,13.1,15,0,T,0,1,
2014-12-02,39,32,35.5,-1,29,0,0.03,T,0,
2014-12-03,47,34,40.5,4.3,24,0,0.2,0,0,
2014-12-04,44,25,34.5,-1.3,30,0,0,0,0,
2014-12-05,38,23,30.5,-4.9,34,0,0.29,T,0,
2014-12-06,39,35,37,2,28,0,0.81,0,0,
2014-12-07,39,21,30,-4.6,35,0,T,0,0,
2014-12-08,27,17,22,-12.2,43,0,T,T,0,
2014-12-09,40,27,33.5,-0.3,31,0,1.77,0,0,
2014-12-10,41,33,37,3.5,28,0,0.23,T,0,
2014-12-11,35,30,32.5,-0.6,32,0,0.01,0.1,0,
2014-12-12,37,29,33,0.3,32,0,T,T,0,
2014-12-13,41,27,34,1.6,31,0,T,T,0,
2014-12-14,46,24,35,3,30,0,0,0,0,
2014-12-15,47,29,38,6.4,27,0,0,0,0,
2014-12-16,38,26,32,0.7,33,0,0.18,0,0,
2014-12-17,51,37,44,13.1,21,0,0.28,0,0,
2014-12-18,41,36,38.5,7.9,26,0,T,T,0,
2014-12-19,36,26,31,0.7,34,0,0,0,0,
2014-12-20,33,24,28.5,-1.5,36,0,T,T,0,
2014-12-21,34,31,32.5,2.9,32,0,0.04,0.6,1,
2014-12-22,43,33,38,8.7,27,0,T,0,0,
2014-12-23,44,38,41,11.9,24,0,0.18,0,0,
2014-12-24,43,40,41.5,12.7,23,0,0.45,0,0,
2014-12-25,56,43,49.5,21,15,0,0.04,0,0,
2014-12-26,50,30,40,11.8,25,0,0,0,0,
2014-12-27,55,26,40.5,12.5,24,0,0,0,0,
2014-12-28,50,38,44,16.2,21,0,0.04,0,0,
2014-12-29,42,27,34.5,7,30,0,0,0,0,
2014-12-30,32,17,24.5,-2.8,40,0,0,0,0,
2014-12-31,32,13,22.5,-4.6,42,0,0,0,M,
2015-01-01,34,17,25.5,-1.4,39,0,0,0,0,
2015-01-02,40,24,32,5.2,33,0,T,T,0,
2015-01-03,34,22,28,1.4,37,0,0.43,1.8,1,
2015-01-04,48,30,39,12.6,26,0,0.27,0,1,
2015-01-05,44,14,29,2.7,36,0,T,0,1,
2015-01-06,19,8,13.5,-12.7,51,0,0.02,0.2,1,
2015-01-07,25,3,14,-12.1,51,0,T,T,1,
2015-01-08,21,0,10.5,-15.5,54,0,0,0,1,
2015-01-09,30,13,21.5,-4.4,43,0,0.09,1.9,3,
2015-01-10,22,6,14,-11.8,51,0,0,0,3,
2015-01-11,32,3,17.5,-8.3,47,0,0,0,3,
2015-01-12,36,30,33,7.3,32,0,0.28,0.2,2,
2015-01-13,36,8,22,-3.7,43,0,0,0,1,
2015-01-14,20,6,13,-12.6,52,0,T,T,1,
2015-01-15,31,9,20,-5.6,45,0,0,0,1,
2015-01-16,39,13,26,0.4,39,0,T,T,1,
2015-01-17,25,7,16,-9.7,49,0,0,0,1,
2015-01-18,41,17,29,3.3,36,0,1.32,T,1,
2015-01-19,41,31,36,10.3,29,0,0,0,0,
2015-01-20,37,24,30.5,4.7,34,0,0,0,0,
2015-01-21,32,15,23.5,-2.3,41,0,0,0,0,
2015-01-22,38,25,31.5,5.6,33,0,0,0,0,
2015-01-23,40,17,28.5,2.5,36,0,0,0,0,
2015-01-24,34,32,33,6.9,32,0,0.48,4.9,5,
2015-01-25,37,14,25.5,-0.7,39,0,0,0,4,
2015-01-26,23,14,18.5,-7.8,46,0,0.06,1.5,4,
2015-01-27,27,13,20,-6.4,45,0,0.24,6.3,11,
2015-01-28,29,10,19.5,-7,45,0,T,T,10,
2015-01-29,31,0,15.5,-11.1,49,0,T,T,9,
2015-01-30,35,14,24.5,-2.3,40,0,0.04,0.3,9,
2015-01-31,20,5,12.5,-14.4,52,0,0,0,9,
2015-02-01,33,14,23.5,-3.6,41,0,T,T,9,
